addr,area,price
湖南省长沙市天心区竹塘西路378号（铁道学院对面）,天心区,2300
湖南省长沙市天心区湘江中路二段36号华远国际公寓(近坡子街海信广场太平街),天心区,4900
长沙市天心区金秋小区芙蓉南路368号金秋小区,天心区,3000
天心书院路716号,天心区,1500
天心区蔡锷南路11号,天心区,1600
长沙市天心区湘府西路299号,天心区,2000
天心区大托镇先锋村新谷路368号,天心区,2200
湘府西路新省政府西边保利花园,天心区,2500
长沙市天心区芙蓉南路一段758号,天心区,1500
长沙市天心区芙蓉南路,天心区,1800
芙蓉南路与环保西路交汇处(友阿奥特莱斯对面),天心区,2000
天心区木莲西路169号(井湾子大润发超市往西100米),天心区,1400
长沙市天心区芙蓉南路一段758号,天心区,2400
长沙市中意二路暮云南托岭181号中悦领秀金都,天心区,1400
芙蓉南路1段418号,天心区,2600
长沙五凌路328号欧洲城,天心区,2800
天心区坡子街111号信丰民居,天心区,3100
芙蓉南路与环保西路交汇处(友阿奥特莱斯对面),天心区,1900
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,2800
芙蓉南路1段418号,天心区,2800
芙蓉南路二段229号(芙蓉南路与披塘路交汇处东南角),天心区,1800
长沙赤岭路348号金碧文华,天心区,2800
湖南省长沙市天心区刘家冲路,天心区,2300
湖南省长沙市雨花区雨花亭街道芙蓉中路三段255号五华酒店住宅楼华凌大厦,天心区,4000
富景园,天心区,2500
友谊路268号万芙锦城,天心区,2600
天心区大托镇先锋村新谷路368号,天心区,2000
湖南省长沙市天心区芙蓉南路,天心区,2600
湖南省长沙市天心区书院路110号,天心区,3200
湘府西路新省政府西边保利花园,天心区,2600
